name,english_name,operator,output,source,method,wikidata,openinframap_plant_id,openinframap_url,latitude,longitude,coordinate_source,coordinate_confidence,osm_type,osm_id,coordinate_error
Fajr Petrochimi 1 Power Plant,,,,gas,combustion,,1152787663,https://openinframap.org/stats/area/Iran/plants/1152787663,30.453147,49.086472,osm_geometry_bbox_center,medium,way,1152787663,
Fajr Petrochimi 2 Power Plant,,,,oil;gas,,,1152788078,https://openinframap.org/stats/area/Iran/plants/1152788078,30.482956,49.085209,osm_geometry_bbox_center,medium,way,1152788078,
Hydroelectric power plant number 1,,,,hydro,,,686097580,https://openinframap.org/stats/area/Iran/plants/686097580,33.353916,49.374703,osm_geometry_bbox_center,medium,way,686097580,
Hydroelectric power plant number2,,,,hydro,,,686098044,https://openinframap.org/stats/area/Iran/plants/686098044,33.346938,49.366897,osm_geometry_bbox_center,medium,way,686098044,
Mobarakeh Steel power station,,,,gas,combustion,,1078033221,https://openinframap.org/stats/area/Iran/plants/1078033221,32.243924,51.427121,osm_geometry_bbox_center,medium,way,1078033221,
Mobin Petrochemical Utility Power Plant,,,,gas,combustion,Q19381720,930435983,https://openinframap.org/stats/area/Iran/plants/930435983,27.554500,52.550300,wikidata_p625,high,,,
Shazand Arak Oil Refinery Power Station,,,,oil,,,1137642999,https://openinframap.org/stats/area/Iran/plants/1137642999,34.005090,49.477735,osm_geometry_bbox_center,medium,way,1137642999,
Shiraz Petrochemical Power Station,,,,oil,combustion,,1098621597,https://openinframap.org/stats/area/Iran/plants/1098621597,29.887528,52.741112,osm_geometry_bbox_center,medium,way,1098621597,
Tabriz Petrochem Power Station,,,,gas,combustion,,1192732591,https://openinframap.org/stats/area/Iran/plants/1192732591,38.068782,46.145473,osm_geometry_bbox_center,medium,way,1192732591,
انبار نفت,,,,oil,combustion,,622575854,https://openinframap.org/stats/area/Iran/plants/622575854,36.694246,52.552178,osm_geometry_bbox_center,medium,way,622575854,
سد جگین,Jagin Dam,,,hydro,,,713874424,https://openinframap.org/stats/area/Iran/plants/713874424,26.163981,57.896584,osm_geometry_bbox_center,medium,way,713874424,
مدیریت برق اردبیل امور ۲,,,,,,,688819591,https://openinframap.org/stats/area/Iran/plants/688819591,38.259406,48.280044,osm_geometry_bbox_center,medium,way,688819591,
مدیریت توزیع برق شهرستان بناب,,,,,,,1059578877,https://openinframap.org/stats/area/Iran/plants/1059578877,37.339968,46.054787,osm_geometry_bbox_center,medium,way,1059578877,
مزرعه خورشیدی,,,,solar,photovoltaic,,841159287,https://openinframap.org/stats/area/Iran/plants/841159287,38.520051,48.200068,osm_geometry_bbox_center,medium,way,841159287,
نیروگاه 400kV,,,,gas,combustion,,1375159636,https://openinframap.org/stats/area/Iran/plants/1375159636,27.765629,52.154274,osm_geometry_bbox_center,medium,way,1375159636,
نیروگاه برق,,,,,,,1027271509,https://openinframap.org/stats/area/Iran/plants/1027271509,33.745667,55.342864,osm_geometry_bbox_center,medium,way,1027271509,
نیروگاه برق,,,,,,,1102175697,https://openinframap.org/stats/area/Iran/plants/1102175697,38.838424,47.052433,osm_geometry_bbox_center,medium,way,1102175697,
نیروگاه برق سراوان,,,,diesel,,,1054028101,https://openinframap.org/stats/area/Iran/plants/1054028101,27.376206,62.331862,osm_geometry_bbox_center,medium,way,1054028101,
نیروگاه حرارتی ملارد,,,,solar,photovoltaic,,980583839,https://openinframap.org/stats/area/Iran/plants/980583839,35.638807,50.889421,osm_geometry_bbox_center,medium,way,980583839,
نیروگاه خرشیدی آبدرجهان,,,,solar,photovoltaic,,995600368,https://openinframap.org/stats/area/Iran/plants/995600368,31.209295,57.045243,osm_geometry_bbox_center,medium,way,995600368,
نیروگاه خورشیدی 10 مگاواتی پتروفرآیند کرخه,,,,solar,photovoltaic,,1263000464,https://openinframap.org/stats/area/Iran/plants/1263000464,27.366292,53.268074,osm_geometry_bbox_center,medium,way,1263000464,
نیروگاه خورشیدی برق سرکویر,Sarkavir Solar Power Plant,,,solar,photovoltaic,,995586879,https://openinframap.org/stats/area/Iran/plants/995586879,35.221149,54.563859,osm_geometry_bbox_center,medium,way,995586879,
نیروگاه خورشیدی خوزنان,,,,solar,,,1159023818,https://openinframap.org/stats/area/Iran/plants/1159023818,36.124834,50.568724,osm_geometry_bbox_center,medium,way,1159023818,
نیروگاه خورشیدی سامان رایانه فرااندیشان,,,,solar,photovoltaic,,995664109,https://openinframap.org/stats/area/Iran/plants/995664109,30.668412,52.655926,osm_geometry_bbox_center,medium,way,995664109,
نیروگاه خورشیدی سانیار سولار,,,,solar,photovoltaic,,1443676850,https://openinframap.org/stats/area/Iran/plants/1443676850,34.509682,50.872061,osm_geometry_bbox_center,medium,way,1443676850,
نیروگاه خورشیدی سربندان,Sarbandan Solar Power Plant,,,solar,photovoltaic,,958639344,https://openinframap.org/stats/area/Iran/plants/958639344,35.635400,52.283734,osm_geometry_bbox_center,medium,way,958639344,
نیروگاه خورشیدی شماره یک طالقانیه,,,,solar,photovoltaic,,1148045994,https://openinframap.org/stats/area/Iran/plants/1148045994,32.208061,51.582148,osm_geometry_bbox_center,medium,way,1148045994,
نیروگاه خورشیدی موسوی,,,,solar,photovoltaic,,995597145,https://openinframap.org/stats/area/Iran/plants/995597145,36.751317,58.952233,osm_geometry_bbox_center,medium,way,995597145,
نیروگاه دیزلی اردبیل,,وزارت نیرو,,diesel,,,-14534922,https://openinframap.org/stats/area/Iran/plants/-14534922,38.241492,48.308511,osm_geometry_bbox_center,medium,relation,14534922,
نیروگاه سد چم شیر,,,,hydro,,,710611833,https://openinframap.org/stats/area/Iran/plants/710611833,30.178144,50.881996,osm_geometry_bbox_center,medium,way,710611833,
نیروگاه پارسیان,,,,oil,combustion,,1223701064,https://openinframap.org/stats/area/Iran/plants/1223701064,27.214072,53.049368,osm_geometry_bbox_center,medium,way,1223701064,
گرمکن مازوت,,,,gas,combustion,,978048342,https://openinframap.org/stats/area/Iran/plants/978048342,36.015738,50.593413,osm_geometry_bbox_center,medium,way,978048342,
